|name|average_rate|nb_of_reviews|address|city|postal_code|comment_rate|last_50_better?
80|Le Musset|4.0|1894|169 Rue Saint-Honoré, 75001 Paris|Paris|75001|3.88|Worse
81|Le Généreux|4.1|374|119 Rue Saint-Denis, 75001 Paris|Paris|75001|3.56|Worse
82|The Hills Pizza|4.7|24|Rue Chénier 6, 75002 Paris|Paris|75002|4.666666666666667|Worse
83|Five Pizza Original - Paris 2 - Réaumur|4.0|358|162 Rue Saint-Denis, 75002 Paris|Paris|75002|3.55|Worse
84|PizzaPresto Paris|3.6|270|42 Rue de Rivoli, 04 75004 Paris|Paris|75004|3.72|Better
85|La Factory Burger Paris|4.5|420|20 Rue des Halles, 75001 Paris|Paris|75001|4.4|Worse
86|Babalou|4.4|896|4 Rue Lamarck, 75018 Paris|Paris|75018|4.16|Worse
87|Pizza Omilgout|4.9|109|3 Rue de Budapest, 75009 Paris|Paris|75009|4.98|Better
88|Café Saint Honoré|4.1|766|194 Rue Saint-Honoré, 75001 Paris|Paris|75001|4.46|Better
89|Fluctuat|4.3|124|74 Quai des Orfèvres, 75001 Paris|Paris|75001|4.18|Worse
90|Pizzeria Renato|4.3|369|41 Bd du Temple, 75003 Paris|Paris|75003|4.64|Better
91|Restaurant Capri|4.4|497|49 Rue Richer, 75009 Paris|Paris|75009|4.44|Better
92|PRESTO & CO|4.6|103|39 Rue de Provence, 75009 Paris|Paris|75009|4.395833333333333|Worse
93|Pizza Pino|3.6|1432|27 Bd des Italiens, 75002 Paris|Paris|75002|4.04|Better
94|Ademi Montmartre|4.5|611|156 Rue Montmartre, 75002 Paris|Paris|75002|4.62|Better
95|L'Artisan du Burger - Les Halles|4.0|1298|94 Rue Rambuteau, 75001 Paris|Paris|75001||Worse
96|BRAVA PIZZA|4.6|243|38 Rue du Cardinal Lemoine, 75005 Paris|Paris|75005|4.580645161290323|Worse
97|Arrivederci pizzeria|4.6|1431|47 Rue Gay-Lussac, 75005 Paris|Paris|75005|4.74|Better
98|Bonvivant Pizza|4.5|122|4 Rue des Écoles, 75005 Paris|Paris|75005|4.7|Better
99|Little Napoli|4.4|131|5 Rue du Pot de Fer, 75005 Paris|Paris|75005|3.95|Worse
100|Univers Pizza|5.0|80|305 Rue Saint-Jacques, 75005 Paris|Paris|75005|5.0|Equal
101|La Scarpetta Paris 75005|4.4|193|29 Rue Descartes, 75005 Paris|Paris|75005|4.68|Better
102|IL POMOD'ORO|4.8|515|340 Rue Saint-Jacques, 75005 Paris|Paris|75005|4.7105263157894735|Worse
103|Pizza Roma Ecoles.|4.1|455|27 Rue des Écoles, 75005 Paris|Paris|75005|4.14|Better
104|Rebalto Pinseria|4.6|187|49 Rue Mouffetard, 75005 Paris|Paris|75005|4.5|Worse
105|Golosino|4.6|436|4 Sq. Vermenouze, 75005 Paris|Paris|75005|4.86|Better
106|I LAZZARI|4.5|702|44 Rue de la Montagne Ste Geneviève, 75005 Paris|Paris|75005|4.886363636363637|Better
107|Les Artisans de la Pizza|4.6|163|318 Rue Saint-Jacques, 75005 Paris|Paris|75005|4.333333333333333|Worse
108|Amore Mio|4.2|436|13 Rue Linné, 75005 Paris|Paris|75005|4.48|Better
109|Happiz Monge|4.6|253|9 Rue Monge, 75005 Paris|Paris|75005|4.66|Better
110|Pizza sarno|3.9|869|31 Rue de la Harpe, 75005 Paris|Paris|75005|3.2|Worse
111|Racina|4.5|392|43 Rue Descartes, 75005 Paris|Paris|75005|4.685714285714286|Better
112|Papilla|4.6|408|9 Rue Soufflot, 75005 Paris|Paris|75005|4.68|Better
113|Five Pizza Original - Paris 5 - Jussieu|4.2|1281|41-43 Rue Linné, 75005 Paris|Paris|75005|4.28|Better
114|Girasole|4.1|230|5 Rue Linné, 75005 Paris|Paris|75005|4.46|Better
115|L'Elica.|4.3|428|28 Rue des Écoles, 75005 Paris|Paris|75005|4.28|Worse
116|Mulberry Street|4.5|574|20 Rue de la Huchette, 75005 Paris|Paris|75005|4.6|Better
117|Il Golosone|4.8|191|32 Rue des Carmes, 75005 Paris|Paris|75005|4.7105263157894735|Worse
118|Amore e Gusto|4.6|235|47 Rue Descartes, 75005 Paris|Paris|75005|4.55|Worse
119|Pee And Bee|4.5|399|9 Rue Lagrange, 75005 Paris|Paris|75005|4.25|Worse
120|LA SIRENA|4.5|506|Bd Saint-Germain 73, 75005 Paris|Paris|75005|4.74|Better
121|RESPIRO|4.8|524|18 Rue Maître Albert, 75005 Paris|Paris|75005|4.714285714285714|Worse
122|ALIMENTO|4.3|407|9 Rue de Pontoise, 75005 Paris|Paris|75005|3.65|Worse
123|Casa Di Peppe|4.3|873|222 Rue Saint-Jacques, 75005 Paris|Paris|75005|4.14|Worse
124|Bibani Pizza|4.8|62|45 Rue Daubenton, 75005 Paris|Paris|75005|4.86|Better
125|Pizza Hut|3.6|228|129 Bd Saint-Michel, 75005 Paris|Paris|75005|3.26|Worse
126|La Solita Taverna|4.1|508|10 Rue du Fouarre, 75005 Paris|Paris|75005|4.1|Equal
127|Il Gigolo|4.3|1606|11 Rue de la Huchette, 75005 Paris|Paris|75005|4.54|Better
128|La Capannina|4.6|697|64 Rue de la Montagne Ste Geneviève, 75005 Paris|Paris|75005|4.7555555555555555|Better
129|Pizzeria Atre3|4.6|116|21 Rue Berthollet, 75005 Paris|Paris|75005|4.52|Worse
